no.batch,IDcode,ID,JASlv,NR,RLT,SHL,WRT,WSH,TTW,note
1,6-J0 -IR64,IR64,J0,8,,,,103,134,
1,59-J0 -IR64,IR64,J0,8,,,,74,99,
1,137-J0 -IR64,IR64,J0,7,,,,94,122,
1,171-J0 -IR64,IR64,J0,10,,,,101,124,
1,262-J0 -IR64,IR64,J0,11,,,,78,105,
1,329-J0 -IR64,IR64,J0,6,,,,70,93,
1,345-J0 -IR64,IR64,J0,8,,,,61,92,
1,405-J0 -IR64,IR64,J0,11,,,,83,113,
1,473-J0 -IR64,IR64,J0,8,,,,85,102,
1,529-J0 -IR64,IR64,J0,8,,,,92,117,
1,602-J0 -IR64,IR64,J0,8,,,,70,89,
1,644-J0 -IR64,IR64,J0,8,,,,106,129,
1,678-J0 -IR64,IR64,J0,9,,,,96,117,
1,732-J0 -IR64,IR64,J0,7,,,,61,75,
1,838-J0 -IR64,IR64,J0,9,,,,86,112,
1,881-J0 -IR64,IR64,J0,10,,,,108,136,
1,948-J0 -IR64,IR64,J0,7,,,,81,102,
1,,IR64,J0,8,,,,81,95,
1,14-J1 -IR64,IR64,J1,6,,,,37,62,
1,85-J1 -IR64,IR64,J1,12,,,,65,89,
1,202-J1 -IR64,IR64,J1,7,,,,42,49,
1,240-J1 -IR64,IR64,J1,10,,,,42,67,
1,302-J1 -IR64,IR64,J1,12,,,,69,114,
1,366-J1 -IR64,IR64,J1,9,,,,58,89,
1,447-J1 -IR64,IR64,J1,10,,,,52,78,
1,453-J1 -IR64,IR64,J1,9,,,,47,72,
1,510-J1 -IR64,IR64,J1,10,,,,73,106,
1,610-J1 -IR64,IR64,J1,8,,,,42,62,
1,639-J1 -IR64,IR64,J1,9,,,,61,93,
1,722-J1 -IR64,IR64,J1,6,,,,53,68,
1,779-J1 -IR64,IR64,J1,7,,,,33,46,
1,791-J1 -IR64,IR64,J1,11,,,,75,100,
1,865-J1 -IR64,IR64,J1,9,,,,65,86,
2,48-  J0 -IR64,IR64,J0,4,4.5,9.2,,30,61,
2,71-  J0 -IR64,IR64,J0,6,2.2,9.6,,52,69,
2,124-  J0 -IR64,IR64,J0,6,6.6,17.4,,93,122,
2,176-  J0 -IR64,IR64,J0,7,7,15.9,,79,100,
2,276-  J0 -IR64,IR64,J0,6,6.5,16.5,,83,106,
2,343-  J0 -IR64,IR64,J0,8,6,18.5,,103,130,
2,416-  J0 -IR64,IR64,J0,9,3.9,14,,102,136,
2,499-  J0 -IR64,IR64,J0,8,7.2,13.3,,50,73,
2,515-  J0 -IR64,IR64,J0,6,4.2,12.9,,63,93,
2,596-  J0 -IR64,IR64,J0,8,2.6,11,,68,102,
2,667-  J0 -IR64,IR64,J0,8,6.2,14,,88,114,
2,722-  J0 -IR64,IR64,J0,6,5.5,16,,84,101,
2,779-  J0 -IR64,IR64,J0,6,6.6,13.7,,58,72,
2,819-  J0 -IR64,IR64,J0,9,6.5,15.8,,96,125,
2,892-  J0 -IR64,IR64,J0,7,4,16.8,,92,120,
2,908-  J0 -IR64,IR64,J0,7,5.8,16,,83,120,
2,J0-IR64,IR64,J0,9,5,16.4,,111,143,
2,39-  J1 -IR64,IR64,J1,9,2.1,7.5,,47,81,
2,133-  J1 -IR64,IR64,J1,7,2,8.2,,48,77,
2,189-  J1 -IR64,IR64,J1,7,3.4,11.5,,58,100,
2,279-  J1 -IR64,IR64,J1,7,2.5,5,,59,92,
2,335-  J1 -IR64,IR64,J1,11,2.4,8.5,,68,93,
2,480-  J1 -IR64,IR64,J1,8,1.3,5.5,,34,47,
2,548-  J1 -IR64,IR64,J1,11,3,10.5,,79,115,
2,577-  J1 -IR64,IR64,J1,5,1.7,4.7,,47,59,
2,639-  J1 -IR64,IR64,J1,10,1.7,7.8,,61,88,
2,692-  J1 -IR64,IR64,J1,8,2.8,9,,47,84,
2,764-  J1 -IR64,IR64,J1,6,2.1,6.7,,62,88,
2,791-  J1 -IR64,IR64,J1,7,2.2,7,,67,89,
2,875-  J1 -IR64,IR64,J1,9,2.2,8,,52,72,
2,936-  J1 -IR64,IR64,J1,8,2.1,8.5,,68,93,
3,51_  J0 -IR64,IR64,J0,7,5.2,10,,,,
3,72_  J0 -IR64,IR64,J0,5,6,15.2,,,,
3,175_  J0 -IR64,IR64,J0,7,6.3,13.6,,,,
3,225_  J0 -IR64,IR64,J0,6,5,14,,,,
3,333_  J0 -IR64,IR64,J0,5,6,15.7,,,,
3,382_  J0 -IR64,IR64,J0,6,4.1,16.9,,,,
3,446_  J0 -IR64,IR64,J0,5,14.6,14.3,,,,
3,500_  J0 -IR64,IR64,J0,6,5.5,15,,,,
3,508_  J0 -IR64,IR64,J0,7,6.1,17.3,,,,
3,597_  J0 -IR64,IR64,J0,8,6.8,13.7,,,,
3,648_  J0 -IR64,IR64,J0,6,7,16.7,,,,
3,700_  J0 -IR64,IR64,J0,9,6.4,17,,,,
3,780_  J0 -IR64,IR64,J0,6,5.8,15,,,,
3,840_  J0 -IR64,IR64,J0,6,7,17,,,,
3,871_  J0 -IR64,IR64,J0,6,6.2,12.5,,,,
3,925_  J0 -IR64,IR64,J0,10,6.2,16.1,,,,
3,26_  J1 -IR64,IR64,J1,7,2.3,10.8,,,,
3,85_  J1 -IR64,IR64,J1,9,2.4,12.3,,,,
3,145_  J1 -IR64,IR64,J1,5,1.7,3,,,,
3,221_  J1 -IR64,IR64,J1,8,2.5,10.1,,,,
3,244_  J1 -IR64,IR64,J1,6,3.7,9.1,,,,
3,305_  J1 -IR64,IR64,J1,10,1.8,6.4,,,,
3,380_  J1 -IR64,IR64,J1,5,2.2,7.7,,,,
3,413_  J1 -IR64,IR64,J1,6,2.2,5.1,,,,
3,504_  J1 -IR64,IR64,J1,6,2.9,10.6,,,,
3,532_  J1 -IR64,IR64,J1,8,2.8,11.1,,,,
3,607_  J1 -IR64,IR64,J1,8,3.1,10.6,,,,
3,637_  J1 -IR64,IR64,J1,8,1.8,11.5,,,,
3,711_  J1 -IR64,IR64,J1,10,2.4,9.8,,,,
3,782_  J1 -IR64,IR64,J1,7,2.7,12.1,,,,
3,838_  J1 -IR64,IR64,J1,7,3,10.5,,,,
3,860_  J1 -IR64,IR64,J1,7,3,10.1,,,,
3,904_  J1 -IR64,IR64,J1,7,2.1,7.9,,,,
